Date,Open,High,Low,Close
06-06-2018,573.5,581.25,569.05,579.7
07-06-2018,581.4,604.8,581.4,601.35
08-06-2018,597,607.55,592.6,599.5
11-06-2018,599.55,605.4,586.25,588.75
12-06-2018,587.95,588.4,577.55,579.8
13-06-2018,579.8,584,566.2,567.5
14-06-2018,567.1,574.35,561.75,569.4
15-06-2018,574,574.85,562,565.95
18-06-2018,564,564.3,547.45,558.7
19-06-2018,558,565.45,550,554.85
20-06-2018,557.5,566.8,553.3,563.3
21-06-2018,569,569,556.2,558.2
22-06-2018,560.2,564.45,556.4,560.45
25-06-2018,560,564.6,556,558.5
26-06-2018,558.9,560,538.35,549.35
27-06-2018,550,552.85,539.25,543.25
28-06-2018,544,556.2,544,548.05
29-06-2018,552,569.85,551.7,567.85
02-07-2018,575.2,586.5,556.25,560.95
03-07-2018,561.05,572.35,554,566.5
04-07-2018,567,572.95,560.1,568.9
05-07-2018,565,565,551.75,553.5
06-07-2018,557.4,564,547.05,554.15
09-07-2018,564.25,565.8,555.7,556.85
10-07-2018,558.05,570.8,557.3,568.6
11-07-2018,566.4,566.4,554.4,555.85
12-07-2018,559.15,567.95,554.35,556.3
13-07-2018,559.5,561.85,553.05,558.15
16-07-2018,558.3,559.35,516.25,519.3
17-07-2018,521.7,535.65,512.55,532.5
18-07-2018,537.7,537.7,501.15,504.7
19-07-2018,509.15,513.25,493.5,499.75
20-07-2018,499.3,505.85,495.45,503.45
23-07-2018,505.25,519.45,498.7,516.85
24-07-2018,517.4,529,517.3,526.7
25-07-2018,529.75,536.4,529.2,534.55
26-07-2018,536,539.9,531.5,534.95
27-07-2018,535.2,553.6,535.2,549.45
30-07-2018,551,558.3,548,552.6
31-07-2018,553.9,564.5,543.4,562.85
01-08-2018,565,567.5,551.3,554.65
02-08-2018,553.9,561.15,540.55,554.5
03-08-2018,556.8,560.25,551.25,555.1
06-08-2018,559.5,564.55,551,553.4
07-08-2018,554.4,577,553.9,573.4
08-08-2018,578,583,574.1,577.65
09-08-2018,580,587,576.25,585.1
10-08-2018,586,586.5,573.15,575.55
13-08-2018,574.95,581.9,566.45,569.2
14-08-2018,584,587,562.45,578.9
16-08-2018,570,576.8,564,568.1
17-08-2018,571.2,585.1,571,580.6
20-08-2018,584.25,601.6,583.2,599.4
21-08-2018,602,603.5,580.15,582.25
23-08-2018,585.9,586,570.3,571.5
